ID,Scheduled,PassThru,Start Time,End Time,Event,School Name,School Code,Sport,PubPoint
45034f55-cc68-4265-8093-3c80eeb0ac10,scheduled,False,1618011900,1618023600,vs. Elmhurst University,Millikin University,milk,Men's Soccer,millikin_1
4ff7fda9-b3f0-45a0-8954-d0cd01047fb0,scheduled,False,1618163700,1618179300,BSB: UAB vs. USM ,Conference USA,c-usa,Baseball,somiss_1
38a20c26-1fbe-4cbf-b166-24e45940af71,scheduled,True,1618079400,1618097400,WSU Baseball vs Houston,Wichita State,wich,Baseball,
bd5deb43-32b3-44f8-954b-4ebc6b6083f1,scheduled,False,1618170600,1618187400,Baseball at Cal State Fullerton,California Baptist University,calb,Baseball,calbaptist_audio1
335eec23-f857-4748-9e72-a8051ce2ba48,scheduled,False,1618068600,1618077600,Lafayette at Colgate (Game 1 of 2),Patriot League,patr,Softball,colgate_1
d0b138f1-ace0-41bd-af60-668a967fc221,scheduled,False,1618002900,1618018200,vs. Memphis,East Carolina University,ecu,Baseball,ecu_2
326b45c3-0758-4142-8470-66bd9b4efaa8,scheduled,False,1618075800,1618110000,FB vs. Lincoln,East Central University,eace,Football,ecok_1
4f54cf82-1785-4770-ac02-a5865c0784cb,scheduled,False,1617997800,1618016400,vs. North Carolina A&T,North Carolina Central University,nccu,Baseball,nccu_audio1
6e3c1a91-7eda-4bef-842c-30a2060c7a1a,scheduled,True,1618098600,1618121100,vs. Air Force,Fresno State,fres,Baseball,
f0982a36-b283-486f-9b02-dbe0c94d672f,scheduled,False,1618070400,1618084800,Lehigh at Lafayette [RCN feed],Patriot League,patr,Football,lafayette_1
b2a4b60e-3984-4788-9768-6e5dae203b40,scheduled,False,1617818400,1617840000,Softball: Brockport vs Geneseo,State University College at Brockport,nybr,Softball,brockport_1
cd47c314-7af6-438d-ba3b-60ed182aa49f,scheduled,False,1618076700,1618086600,Softball vs. Thomas More University GAME ONE,University of the Cumberlands,cumberlands,Softball,cumberlands_2
84b86300-541f-497a-9e21-b32db838718c,scheduled,False,1618070100,1618082100,BB vs.Rhodes,Centre College,cenr,Baseball,colonels_2
167291f5-89e4-4e94-b78a-0c76a28b0814,conflict,False,1618083000,1618097400,Holy Cross at Colgate,Patriot League,patr,Football,colgate_1
4f4eaec3-f054-443c-91b4-ddc1342997c5,scheduled,False,1618084200,1618095600,vs. Montevallo,University of West Florida,wefl,Softball,uwf_4
6dcf15e6-fbce-4086-bce6-047442ba9cb9,scheduled,False,1617817500,1617826200,Women's Soccer vs. Northwestern,University of Minnesota Morris,mnmr,Women's Soccer,minnmorris_2
75e8bdfc-6c8f-4b65-b451-343b0be840b5,scheduled,True,1617997500,1618034400,@ USF (Doubleheader),Tulane University,tul,Baseball,
df24151c-5960-4c2f-8d4b-646c29eea802,scheduled,False,1618005600,1618016400,Baseball v Georgetown,University of Connecticut,conn,Baseball,uconn_2
2dc0f052-65a2-42fc-9d54-73ccad2712ca,scheduled,False,1617994800,1618002000,Lacrosse v Denver,University of Connecticut,conn,Women's Lacrosse,uconn_1
2f20202e-c58c-46b6-8921-5ad07b286938,scheduled,False,1618077000,1618092000,vs. Montevallo,University of West Florida,wefl,Baseball,uwf_1
9d201463-01ea-4625-9cbf-f0b62113b6ab,scheduled,True,1618009800,1618027140,BSB Game Audio vs. Vanderbilt,University of Georgia,geo,Baseball,
